Make,Price,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,age
فورد,99900,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,4600,42000.0,نقدا فقط,للبيع أو التبديل,5.0,1,1,1,1,0,1,0,1,5.0,15
كيا,44000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,215.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,1,1,4.0,15
اوبل,37000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,0.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,0,1,0,1,0,0,4.0,15
هونداي,57000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,126000.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,1,0,1,1,1,4.0,13
اوبل,45000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,98000.0,نقدا فقط,للبيع فقط,,1,1,0,1,0,1,0,1,,9
هونداي,120000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,95000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,1,1,1,1,1,1,4.0,8
فيات,5000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,900,,نقدا فقط,للبيع فقط,8.0,0,0,0,1,0,0,0,0,4.0,40
بي,215000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,1,1,1,1,1,4.0,9
فولكسفاجن,175000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,0.0,0,0,0,0,0,0,0,0,4.0,4
دايو,15000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,12000.0,إمكانية التقسيط,للبيع أو التبديل,,1,1,1,1,0,1,0,1,4.0,22
فولكسفاجن,40000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,,1,1,1,1,0,1,0,0,4.0,20
فولكسفاجن,140000,عدة الوان,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,65000.0,إمكانية التقسيط,للبيع فقط,,1,1,1,1,1,1,0,1,4.0,8
اوبل,17000,رمادي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع أو التبديل,,0,0,0,1,0,1,0,0,4.0,35
هونداي,38000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,إمكانية التقسيط,للبيع فقط,4.0,1,1,1,1,1,1,0,0,4.0,15
فورد,34000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,95000.0,نقدا فقط,للبيع فقط,2.0,1,1,0,1,0,1,1,1,4.0,11
بيجو,40000,سكني,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,,إمكانية التقسيط,للبيع أو التبديل,,0,0,0,0,0,0,0,0,4.0,16
اوبل,41999,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,1,1,1,1,0,1,0,1,4.0,9
شفروليه,20000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2150,,نقدا فقط,للبيع فقط,2.0,1,1,0,1,0,0,0,1,4.0,26
فولكسفاجن,87000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,165000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,11
هونداي,40000,أبيض,ديزل,عمومي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,500000.0,إمكانية التقسيط,للبيع فقط,,0,0,0,0,0,0,0,0,,11
اوبل,12000,أسود,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,0.0,إمكانية التقسيط,للبيع فقط,4.0,0,0,0,1,0,1,1,1,4.0,40
بيجو,40000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,250000.0,نقدا فقط,للبيع فقط,2.0,0,1,1,1,1,1,0,1,4.0,6
مرسيدس,150000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,158000.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,1,1,1,1,4.0,8
فولكسفاجن,115000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,35000.0,نقدا فقط,للبيع أو التبديل,,1,1,1,1,0,1,0,1,6.0,5
هونداي,165000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,49000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,1,1,1,1,6.0,4
بيجو,50000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع أو التبديل,2.0,1,0,0,1,0,1,0,1,6.0,13
بي,50000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2500,1000.0,إمكانية التقسيط,للبيع أو التبديل,3.0,1,1,1,1,1,1,1,1,3.0,35
بيجو,45000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع فقط,,0,0,0,1,0,0,0,0,4.0,15
فولكسفاجن,75000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,إمكانية التقسيط,للبيع فقط,2.0,0,0,0,0,0,0,0,0,4.0,9
اوبل,21000,أخضر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,180000.0,نقدا فقط,للبيع أو التبديل,3.0,1,1,1,1,0,1,1,1,4.0,24
فولكسفاجن,40000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,170.0,إمكانية التقسيط,للبيع فقط,2.0,1,1,1,1,1,1,1,1,4.0,19
بي,100000,أزرق,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2300,300000.0,إمكانية التقسيط,للبيع أو التبديل,3.0,1,1,0,1,1,1,1,1,4.0,18
اودي,205000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,نقدا فقط,للبيع فقط,,1,1,1,1,1,1,1,1,6.0,14
فولكسفاجن,75000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,إمكانية التقسيط,للبيع فقط,,1,1,1,1,1,1,1,1,4.0,17
سكودا,110000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,72000.0,إمكانية التقسيط,للبيع أو التبديل,,1,1,0,1,0,1,1,1,,5
هونداي,69000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,22.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,1,0,1,1,1,4.0,6
كيا,145000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,135000.0,إمكانية التقسيط,للبيع أو التبديل,3.0,1,1,1,1,1,1,1,1,6.0,7
فولكسفاجن,77000,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,1,1,0,1,1,1,6.0,11
بيجو,77000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,1.0,0,0,0,0,0,0,0,0,4.0,7
دايو,24000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,1,1,0,1,0,1,0,1,4.0,22
شفروليه,37000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,10000.0,إمكانية التقسيط,للبيع أو التبديل,3.0,1,1,1,1,0,1,0,1,4.0,14
أفيكو,78000,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,3000,260000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,0,0,0,2.0,11
هونداي,64000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,1,1,1,1,1,1,1,1,4.0,11
كيا,31999,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,109000.0,نقدا فقط,للبيع فقط,,1,1,1,1,1,1,1,1,4.0,11
جييب,360000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,41000.0,إمكانية التقسيط,للبيع أو التبديل,0.0,1,1,1,1,1,1,1,1,4.0,7
فولكسفاجن,15000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,نقدا فقط,للبيع أو التبديل,5.0,1,1,1,1,0,0,1,1,4.0,24
كيا,60000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,142000.0,إمكانية التقسيط,للبيع أو التبديل,3.0,1,1,0,1,1,1,1,0,6.0,15
كيا,53000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,93000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,1,1,1,1,4.0,16
اودي,35000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,70000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,1,1,1,1,0,1,4.0,27
شفروليه,40000,أسود,ديزل,حكومي,فلسطينية,اوتوماتيك,الكتروني,6600,,نقدا فقط,للبيع فقط,,1,1,1,1,0,1,1,0,6.0,25
مرسيدس,52000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2700,,إمكانية التقسيط,للبيع أو التبديل,,0,0,0,0,0,0,0,0,2.0,18
فولكسفاجن,200000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,163000.0,نقدا فقط,للبيع فقط,5.0,1,1,1,1,1,1,1,1,4.0,12
هونداي,132000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,70000.0,نقدا فقط,للبيع أو التبديل,0.0,1,1,1,1,1,1,1,1,4.0,3
هونداي,59000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,95000.0,إمكانية التقسيط,للبيع فقط,1.0,1,1,1,1,0,0,1,0,4.0,10
سكودا,42000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,884000.0,نقدا فقط,للبيع فقط,,1,1,0,1,0,1,0,1,4.0,19
سكودا,95000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,170000.0,إمكانية التقسيط,للبيع فقط,,0,0,0,0,0,0,0,0,4.0,9
فورد,43000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,70000.0,نقدا فقط,للبيع فقط,0.0,1,1,1,1,0,0,0,1,4.0,8
فولكسفاجن,150000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,133400.0,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,1,1,0,1,0,1,4.0,5
فولكسفاجن,105000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000.0,نقدا فقط,للبيع أو التبديل,0.0,1,1,1,1,0,1,0,1,6.0,9
بي,35000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,0.0,إمكانية التقسيط,للبيع أو التبديل,6.0,1,1,0,1,0,1,1,0,4.0,31
تويوتا,2800,أزرق سماوي,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,0.0,نقدا فقط,للبيع فقط,0.0,1,1,1,0,0,0,0,1,4.0,18
سكودا,210000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,70000.0,نقدا فقط,للبيع أو التبديل,0.0,1,1,1,1,1,1,1,1,4.0,4
اودي,35000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,0.0,إمكانية التقسيط,للبيع فقط,7.0,1,1,0,1,1,1,0,0,4.0,26
فورد,43500,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,60000.0,نقدا فقط,للبيع فقط,2.0,1,1,0,1,0,0,0,1,4.0,11
رينو,14000,أسود,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,0.0,إمكانية التقسيط,للبيع فقط,5.0,1,1,0,1,0,1,0,1,4.0,23
هونداي,113000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,33000.0,إمكانية التقسيط,للبيع فقط,0.0,1,1,1,1,0,1,1,1,,3
بيجو,45000,أبيض,ديزل,تجاري,فلسطينية,اوتوماتيك,الكتروني,2000,170000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,1,1,0,0,1,1,2.0,9
كيا,130000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,130000.0,نقدا فقط,للبيع فقط,1.0,1,1,0,1,0,1,1,1,6.0,9
كيا,100000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1700,60000.0,نقدا فقط,للبيع فقط,0.0,1,1,0,1,0,1,1,1,4.0,7
سكودا,45000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000.0,نقدا فقط,للبيع فقط,3.0,1,1,1,1,0,0,0,1,4.0,13
فولكسفاجن,37000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,0.0,نقدا فقط,للبيع أو التبديل,4.0,1,1,1,1,0,1,0,1,4.0,24
سكودا,128000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,74000.0,نقدا فقط,للبيع فقط,5.0,1,1,1,1,1,1,1,1,4.0,3
ميتسوبيشي,1500,أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,190.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,0,0,0,0,4.0,24
مرسيدس,220000,برتقالي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,220,75000.0,إمكانية التقسيط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,7.0,6
سكودا,65000,أزرق سماوي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع فقط,2.0,1,1,1,1,1,1,1,1,4.0,14
هونداي,47000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,4.0,1,1,1,1,1,1,1,1,4.0,15
هونداي,28000,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,123456.0,نقدا فقط,للبيع فقط,3.0,1,1,0,1,0,0,0,0,4.0,17
ميتسوبيشي,230000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2400,47000.0,إمكانية التقسيط,للبيع أو التبديل,0.0,1,1,1,1,0,1,0,1,4.0,5
هونداي,70000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,13500.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,0,1,1,1,4.0,5
سيت,70000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,68000.0,نقدا فقط,للبيع أو التبديل,0.0,1,1,1,1,0,1,1,1,,6
بيجو,39000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,1,1,1,1,0,1,1,1,4.0,15
هونداي,65000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,48000.0,إمكانية التقسيط,للبيع فقط,3.0,1,1,0,1,1,1,1,1,3.0,7
رينو,42000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1500,130000.0,نقدا فقط,للبيع فقط,0.0,1,1,1,1,0,0,1,1,4.0,8
اودي,16000,رمادي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,0.0,نقدا فقط,للبيع أو التبديل,3.0,0,0,0,1,0,1,0,1,4.0,34
دراجة,15000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,25000.0,إمكانية التقسيط,للبيع فقط,1.0,0,0,0,0,0,0,0,0,1.0,5
هونداي,15500,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,0.0,نقدا فقط,للبيع فقط,5.0,0,0,0,1,0,1,0,1,4.0,24
سيت,57000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,6
فولفو,45000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,1800,7500.0,إمكانية التقسيط,للبيع أو التبديل,4.0,0,0,0,1,0,0,0,0,2.0,35
فولكسفاجن,55000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,إمكانية التقسيط,للبيع فقط,1.0,1,1,1,1,0,0,1,1,,13
هونداي,74000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,45.0,نقدا فقط,للبيع فقط,0.0,1,1,1,1,1,1,1,1,,7
بي,46000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,1,1,1,1,4.0,18
هونداي,68000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,9900.0,نقدا فقط,للبيع فقط,0.0,1,1,0,1,0,1,1,1,,8
فولكسفاجن,45000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,339900.0,نقدا فقط,للبيع أو التبديل,7.0,1,1,1,1,0,1,1,1,4.0,15
مرسيدس,148000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,45000.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,1,1,1,1,1,4.0,9
هونداي,65000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000.0,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,1,1,0,1,0,1,4.0,7
كيا,55000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,800000.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,1,1,4.0,9
كيا,47000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,29000.0,نقدا فقط,للبيع فقط,1.0,1,1,0,0,0,1,0,1,4.0,7
فولكسفاجن,45000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,170000.0,نقدا فقط,للبيع فقط,,1,1,0,1,0,1,0,1,4.0,12
شاحنة,90000,أبيض عاجي,ديزل,تجاري,نمرة صفراء,اوتوماتيك,الكتروني,5000,,إمكانية التقسيط,للبيع فقط,,0,0,0,0,0,0,0,0,2.0,13
فولكسفاجن,148000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,85432.0,إمكانية التقسيط,للبيع أو التبديل,0.0,1,1,1,1,0,1,1,1,4.0,4
هونداي,112000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,60000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,1,1,1,1,6.0,9
ميتسوبيشي,30000,أبيض عاجي,بنزين,حكومي,فلسطينية,عادي,يدوي,2400,,نقدا فقط,للبيع فقط,,0,0,0,0,0,0,0,0,2.0,14
سيت,135000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,180,50000.0,نقدا فقط,للبيع فقط,0.0,1,1,1,0,1,1,1,1,4.0,5
فيات,13500,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,0.0,نقدا فقط,للبيع أو التبديل,12.0,0,0,0,1,0,1,0,0,4.0,37
نيسان,55000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,0.0,1,1,1,1,0,0,0,1,,11
فولكسفاجن,60000,أبيض,ديزل,تجاري,فلسطينية,اوتوماتيك,الكتروني,2000,200000.0,نقدا فقط,للبيع فقط,1.0,1,1,0,1,1,1,1,1,4.0,14
فولكسفاجن,90000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,72000.0,نقدا فقط,للبيع فقط,0.0,1,1,1,1,1,1,1,1,4.0,9
سيت,77000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,70000.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,0,1,0,0,4.0,9
سكودا,93000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,154000.0,إمكانية التقسيط,للبيع فقط,2.0,1,1,1,1,0,1,1,0,4.0,9
رينو,51000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,59000.0,نقدا فقط,للبيع فقط,4.0,1,1,1,1,0,1,1,1,4.0,7
هونداي,60000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000.0,إمكانية التقسيط,للبيع فقط,1.0,1,1,0,1,0,1,1,1,4.0,8
سكودا,39500,أخضر,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,88000.0,إمكانية التقسيط,للبيع فقط,2.0,1,1,1,1,1,1,1,1,4.0,12
كيا,130000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,,إمكانية التقسيط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,6.0,11
بي,70000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,300.0,إمكانية التقسيط,للبيع أو التبديل,5.0,1,1,1,1,1,1,1,1,4.0,16
فولكسفاجن,82000,أحمر,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,20000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,1,1,1,1,1,1,4.0,15
فولكسفاجن,98765,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,78567.0,نقدا فقط,للبيع أو التبديل,5.0,1,1,1,1,0,0,0,1,4.0,24
سيت,74000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,64000.0,نقدا فقط,للبيع فقط,,1,1,1,1,0,1,0,1,4.0,5
هونداي,135000,كحلي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2200,60000.0,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,0,1,1,1,1,1,6.0,8
اوبل,18000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,,0,0,0,0,0,0,0,0,4.0,36
كيا,55000,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,52000.0,نقدا فقط,للبيع فقط,,1,1,1,1,1,1,1,1,4.0,4
مرسيدس,36500,ذهبي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,إمكانية التقسيط,للبيع أو التبديل,,1,1,1,0,0,1,1,1,4.0,21
سكودا,50000,بترولي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,390000.0,نقدا فقط,للبيع فقط,2.0,1,1,0,0,0,0,0,1,,14
فولكسفاجن,32000,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,0,1,4.0,25
فولكسفاجن,420000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,70000.0,إمكانية التقسيط,للبيع أو التبديل,0.0,1,1,1,1,1,1,1,1,4.0,4
كيا,44000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,1,1,1,1,1,1,1,1,4.0,16
فورد,33000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,89000.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,1,1,4.0,9
فولكسفاجن,87000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,130000.0,نقدا فقط,للبيع فقط,1.0,1,1,0,1,0,1,1,1,4.0,12
هونداي,37500,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,188000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,17
فولكسفاجن,76000,بيج,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,430000.0,نقدا فقط,للبيع فقط,1.0,1,1,0,1,0,0,0,0,6.0,13
فولكسفاجن,35000,أسود,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,2000,160000.0,نقدا فقط,للبيع فقط,7.0,1,1,1,1,1,1,0,1,4.0,16
بيجو,57000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,260.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,0,1,1,4.0,12
هونداي,32000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1495,230000.0,نقدا فقط,للبيع فقط,4.0,1,1,1,1,0,0,0,0,4.0,18
سكودا,190000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,91000.0,نقدا فقط,للبيع أو التبديل,,1,1,1,1,1,1,0,1,6.0,5
فولكسفاجن,60000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,90000.0,إمكانية التقسيط,للبيع أو التبديل,2.0,1,1,1,1,0,1,0,1,4.0,9
رينو,55000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,1,1,0,1,1,1,4.0,7
اوبل,35000,كحلي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,63000.0,نقدا فقط,للبيع فقط,3.0,1,1,0,1,0,1,1,1,6.0,20
سكودا,65000,أسود ميتالك,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع أو التبديل,3.0,1,1,1,1,0,1,0,1,4.0,12
سكودا,102000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,84000.0,نقدا فقط,للبيع فقط,0.0,1,1,0,1,0,1,0,1,4.0,7
هونداي,37500,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,190000.0,نقدا فقط,للبيع فقط,3.0,1,1,1,1,0,1,0,1,4.0,18
فولكسفاجن,63000,عدة الوان,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,45000.0,إمكانية التقسيط,للبيع أو التبديل,0.0,1,1,1,1,0,1,0,1,4.0,8
بي,45000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,200000.0,نقدا فقط,للبيع أو التبديل,4.0,1,1,0,1,1,1,0,1,4.0,18
هونداي,78000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,80000.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,1,0,1,1,1,4.0,5
بي,249000,أبيض,هايبرد,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,9000.0,نقدا فقط,للبيع فقط,1.0,1,1,0,1,1,1,1,1,4.0,4
مرسيدس,20000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,نقدا فقط,للبيع أو التبديل,6.0,0,0,0,1,0,1,1,0,7.0,32
سكودا,45000,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,3.0,1,1,0,0,0,0,1,1,4.0,14
