Make,Year,Price,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Additions,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,Drive Type
هونداي i30,2009,47000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
فيات بونتو,2010,36000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,159000,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع أمامي
كيا بيكانتو,2016,46000,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,31000,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,
سكودا فيليسيا,1996,22000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,123456,نقدا فقط,للبيع فقط,نعم,"مسجل CD
وسادة حماية هوائية",0,0,0,1,0,0,0,1,1+1,
فولكسفاجن بولو,2006,38000,أبيض,بنزين,حكومي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع أو التبديل,2,,0,0,0,0,0,0,0,0,4+1,
مرسيدس 250,1993,17000,أبيض,ديزل,عمومي,فلسطينية,عادي,يدوي,2500,0000,إمكانية التقسيط,للبيع أو التبديل,6,"مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",0,0,0,1,1,1,1,1,7+1,
بيجو 407,2006,40000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,2,"إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",0,1,0,1,1,1,0,1,4+1,
هونداي اكسنت,2016,64000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,43000,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
بيجو بارتنر,2014,55000,بترولي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,١٧٩٠٠٠,نقدا فقط,للبيع فقط,٣,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية",1,1,0,0,0,0,0,1,4+1,
بيجو 2008,2008,30000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,تالثه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD",1,1,1,1,0,0,0,0,4+1,
بيجو 308,2016,65000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,56000,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع أمامي
سكودا اوكتافيا,2011,50000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,0500000,نقدا فقط,للبيع فقط,ثالثة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع أمامي
كيا برايد,2015,48000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,180000,نقدا فقط,للبيع فقط,,"مُكيّف
فتحة سقف
جنطات مغنيسيوم
فرش جلد",1,0,0,0,1,1,1,0,4+1,
كيا سبورتاج,2019,127000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,71000,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,0,1,1,1,4+1,دفع أمامي
سكودا اوكتافيا,2019,130000,ذهبي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,42315,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
فولكسفاجن t-cross,2020,123000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,6500,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
اوبل كاديت,1989,13000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,نقدا فقط,للبيع فقط,ثالثى,جنطات مغنيسيوم,0,0,0,0,0,1,0,0,4+1,دفع أمامي
فورد فيستا,2012,38000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,177,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",1,1,1,1,0,1,1,0,4+1,دفع أمامي
فولكسفاجن جولف,2011,65000,أسود,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,80000,نقدا فقط,للبيع فقط,يد أولى,مسجل CD,0,0,0,1,0,0,0,0,4+1,
سيت ابيزا,2016,55000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,76000,نقدا فقط,للبيع فقط,يد ثانية,,0,0,0,0,0,0,0,0,,
اوبل كاديت,1983,15000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,نقدا فقط,للبيع فقط,,"مسجل CD
جنطات مغنيسيوم
فرش جلد",0,0,0,1,0,1,1,0,,
هونداي افانتي,2006,34000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,170000,نقدا فقط,للبيع فقط,يد خامسه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
كيا برايد,2007,45000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
فولكسفاجن كرافتر,2008,70000,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,250000,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,2+1,
فولكسفاجن بولو,2004,2000,بنفسجي,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع فقط,,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم",0,1,0,1,0,1,0,0,4+1,
هونداي توسان,2007,60000,أخضر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٦٠٠٠٠,إمكانية التقسيط,للبيع فقط,,"إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
فرش جلد",0,1,1,1,1,0,1,0,7+1,
اوبل كاديت,1983,15000,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,٠٠٠٠٠٠٠,نقدا فقط,للبيع فقط,,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم",0,1,0,1,0,1,0,0,4+1,
فولكسفاجن جولف,2005,47900,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,٣٠٠,نقدا فقط,للبيع فقط,٤,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
مرسيدس 914,1997,40000,أبيض,ديزل,تجاري,فلسطينية,عادي,يدوي,3600,6000000,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف
مسجل CD
فتحة سقف
جنطات مغنيسيوم",1,0,0,1,1,1,0,0,5+1,
سكودا اوكتافيا,2011,45000,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,440000,نقدا فقط,للبيع فقط,5,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",0,1,0,1,0,1,1,1,4+1,دفع أمامي
سوبارو ليجاسي,1999,35000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,185000,نقدا فقط,للبيع أو التبديل,يد رابعة,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم",1,1,1,0,0,1,0,0,4+1,
هونداي سانتافيه,2018,137000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,000000,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,0,1,1,6+1,دفع أمامي
هونداي توسان,2016,108000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,نقدا فقط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
فورد فوكس,2012,47000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,129000,إمكانية التقسيط,للبيع فقط,,,0,0,0,0,0,0,0,0,4+1,
جييب Patriot,2008,62000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,230,000000,إمكانية التقسيط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
مرسيدس فيتو,2001,25000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2200,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,1,1,1,8+1,
هونداي سانتافيه,2019,162000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,32000,إمكانية التقسيط,للبيع أو التبديل,00,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع خلفي
كيا ريو,2008,42000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,170000,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
فولكسفاجن باسات,1998,30000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,190الف,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
هونداي اكسنت,2007,39999,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,300000,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم",1,1,0,1,0,1,0,0,4+1,
كيا سورينتو,2018,170000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,5600,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,7+1,دفع رباعي 4x4
فولكسفاجن بولو,2004,32000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,١٢٣٤٥,إمكانية التقسيط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
مازدا لانتس,1999,370000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,186,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,,
فولكسفاجن كرافيل,2001,30000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,6+1,
فولكسفاجن GTI,2012,90000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
فولكسفاجن كادي,2008,60000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,315000,إمكانية التقسيط,للبيع فقط,4,"مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,0,1,1,0,1,1,1,6+1,دفع أمامي
كيا فورتي,2012,56000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١١٦٠٠٠,إمكانية التقسيط,للبيع فقط,٢,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
اوبل كورسا,2016,50000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,85000,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,0,1,1,1,,
بي ام دبليو 316,1986,25000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,,نقدا فقط,للبيع فقط,,"جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",0,0,1,1,0,1,1,0,4+1,
هونداي كونا,2020,112000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,25000,إمكانية التقسيط,للبيع أو التبديل,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,0,1,1,1,4+1,
فولكسفاجن باسات,2016,149999,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,91000,نقدا فقط,للبيع فقط,6,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع أمامي
كيا سبورتاج,2011,75000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,15000,إمكانية التقسيط,للبيع أو التبديل,٢,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,0,1,1,1,4+1,دفع رباعي 4x4
فولكسفاجن باسات,1998,31000,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,196000,نقدا فقط,للبيع أو التبديل,6,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
مرسيدس غواصة S320,2002,83000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,320000,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
فولكسفاجن كادي,2013,80000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,نقدا فقط,للبيع فقط,يد اولا,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية",1,1,0,0,0,0,0,1,6+1,
اوبل زافيرا,2003,40000,كحلي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,1,1,1,6+1,
هونداي اكسنت,2015,61000,أبيض,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,95000,نقدا فقط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
فولكسفاجن جولف,2015,98000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٧٥٠٠٠,نقدا فقط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
اوبل كاديت,1984,13000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,184000,نقدا فقط,للبيع فقط,5,"إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",0,1,0,1,0,1,1,1,4+1,
فولكسفاجن جولف,2017,93000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,105000,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
بيجو 307,2006,30000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,138000,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
ستروين Ds5,2013,90000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,40300,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
هونداي توسان,2015,75000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,115000,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
هونداي توسان,2012,75000,سكني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,ايد 2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
فولكسفاجن كرافيل,2000,55000,كحلي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,123456,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,1,1,1,7+1,
مرسيدس 350,2008,95000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,177314,نقدا فقط,للبيع فقط,10,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع خلفي
اودي A4,2000,28000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,165000,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,1,1,0,1,4+1,
بيجو بارتنر,2011,52000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,,مُكيّف,1,0,0,0,0,0,0,0,4+1,
سكودا يتي,2015,79000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,١٢٢٠٠٠,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,0,0,1,0,1,4+1,
سيت ليون,2017,95000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,95000,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع أمامي
هونداي فيرنا,2009,46499,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,140,نقدا فقط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,5+1,
فولكسفاجن باسات,2015,90000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,217000,إمكانية التقسيط,للبيع فقط,2,,0,0,0,0,0,0,0,0,4+1,
هونداي i30,2008,46000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,133000,إمكانية التقسيط,للبيع فقط,٦,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,,
سوبارو عريض,1987,14000,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,,,0,0,0,0,0,0,0,0,4+1,
سيت قرطبة,2003,30000,أبيض عاجي,ديزل,تدريب سياقة,فلسطينية,عادي,الكتروني,1900,5000,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
ميتسوبيشي لانسر,2013,80000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,95000,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,1,1,0,1,,
كيا سيراتو,2016,84000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,37000,إمكانية التقسيط,للتبديل فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,,
فولكسفاجن توران,2009,60000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,143,إمكانية التقسيط,للبيع فقط,رابعة,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,1,1,1,6+1,
فيات 2004,2004,30000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,7+1,
فولكسفاجن بولو,2018,88000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,40000,نقدا فقط,للبيع فقط,يد ١,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
بيجو 208,2014,35000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,96000,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
رينو كليو,2014,45000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,٧٥,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
وسادة حماية هوائية",1,1,1,0,0,0,0,1,4+1,
اودي A4,1998,30000,كرميدي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,١٦٩٠٠٠,نقدا فقط,للبيع أو التبديل,٧,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
فورد ترانزيت,1999,26000,أبيض,ديزل,خصوصي,نمرة صفراء,عادي,الكتروني,2500,75000,نقدا فقط,للبيع أو التبديل,3,"إغلاق مركزي
مسجل CD
فرش جلد",0,1,0,1,0,0,1,0,اكثر من 10,
سكودا اوكتافيا,2008,70000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,230000,نقدا فقط,للبيع أو التبديل,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم",1,1,1,1,0,1,0,0,4+1,
اوبل اسكونا,1986,7000,سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,,"مسجل CD
فرش جلد",0,0,0,1,0,0,1,0,4+1,
فولكسفاجن باسات,2020,147000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100000,نقدا فقط,للبيع فقط,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,0,0,1,0,1,4+1,دفع خلفي
فيات 2009,2009,40000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,141300,إمكانية التقسيط,للبيع أو التبديل,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,
سكودا اوكتافيا,2007,62000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,٦٥٠,إمكانية التقسيط,للبيع أو التبديل,٦,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,
سكودا اوكتافيا,2007,660000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,821111,نقدا فقط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد",1,1,1,1,0,1,1,0,4+1,
اوبل اسكونا,1984,8000,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,0000,نقدا فقط,للبيع فقط,5,"إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد",0,1,1,1,0,0,1,0,4+1,
