Make,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,age,Price
بي,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,61000.0,نقدا فقط,للبيع فقط,0,1,1,1,1,1,1,1,1,4,8.0,239000
سيت,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,36500.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,1,1,1,0,1,4,4.0,100000
بي,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,70501.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,1,1,1,1,6,14.0,170000
فولكسفاجن,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,63000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,0,1,4,6.0,110000
مرسيدس,أبيض,ديزل,تجاري,فلسطينية,عادي,يدوي,3000,86627.6,نقدا فقط,للبيع فقط,3,0,0,0,1,0,1,1,1,6,33.0,45000
كيا,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1.0,إمكانية التقسيط,للبيع أو التبديل,3,1,1,1,1,0,1,1,1,4,14.0,50000
مرسيدس,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,40000.0,نقدا فقط,للبيع فقط,2,1,1,1,1,1,1,1,1,5,8.0,137000
كيا,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000.0,نقدا فقط,للبيع فقط,4,1,1,1,1,0,1,1,1,4,16.0,40000
سوبارو,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,6544.8,نقدا فقط,للبيع فقط,5,0,0,0,0,0,0,0,0,4,41.0,2300
هونداي,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,108060.0,نقدا فقط,للبيع فقط,1,1,1,1,0,0,1,0,1,4,18.0,31000
هونداي,زيتي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,17990.0,نقدا فقط,للبيع فقط,3,1,1,1,1,1,1,1,1,4,16.0,44000
فولكسفاجن,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1600,200.0,نقدا فقط,للبيع فقط,12,0,0,0,1,0,1,1,0,4,44.0,18000
هونداي,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,168800.0,نقدا فقط,للبيع فقط,2,1,1,0,1,1,1,1,1,4,11.0,87000
بيجو,بترولي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,120.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,1,1,6,7.0,60000
هونداي,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,94996.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,0,1,1,1,4,8.0,95000
فيات,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,903,24315.4,نقدا فقط,للبيع فقط,6,0,0,0,1,0,0,0,0,4,40.0,4000
دراجة,أصفر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,125.0,نقدا فقط,للبيع فقط,0,1,0,0,0,1,0,0,0,1,7.0,6500
اوبل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,23000.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,1,0,1,0,1,4,4.0,73500
سكودا,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,101070.8,إمكانية التقسيط,للبيع فقط,4,1,1,0,1,1,0,0,1,4,13.0,50000
بي,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,150000.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,1,1,1,1,1,4,6.0,320000
كيا,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,101070.8,إمكانية التقسيط,للبيع أو التبديل,6,0,0,0,0,0,0,1,0,4,13.0,43000
هونداي,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,33500.0,نقدا فقط,للبيع فقط,0,0,0,0,0,0,0,0,0,4,5.0,110000
سكودا,عدة الوان,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,50000.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,1,1,1,1,1,4,4.0,145000
هونداي,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,94000.0,نقدا فقط,للبيع فقط,2,1,1,1,0,0,1,1,1,4,9.0,66000
ستروين,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,1,1,1,1,4,9.0,70000
فولكسفاجن,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,186800.0,إمكانية التقسيط,للبيع أو التبديل,4,0,0,0,0,0,0,0,0,7,17.0,62000
فيات,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,900,6544.8,نقدا فقط,للبيع فقط,5,0,0,0,0,0,0,0,0,4,41.0,4000
فورد,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,150000.0,نقدا فقط,للبيع فقط,1,0,0,0,1,0,0,1,1,7,23.0,40000
بي,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,155418.0,نقدا فقط,للبيع فقط,2,1,1,0,1,1,1,0,1,4,16.0,92000
ستروين,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,149000.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,0,0,1,0,1,4,9.0,45000
كيا,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1400,169341.0,إمكانية التقسيط,للبيع فقط,2,1,1,1,1,0,0,1,1,4,10.0,45000
فورد,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,95000.0,إمكانية التقسيط,للبيع فقط,2,1,1,1,1,0,0,0,1,4,10.0,43000
هونداي,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,20000.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,0,1,1,1,8,16.0,43000
بيجو,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,300.0,إمكانية التقسيط,للبيع فقط,2,0,1,0,0,1,1,1,0,4,18.0,29000
كيا,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,33500.0,إمكانية التقسيط,للبيع فقط,0,1,1,1,1,1,1,1,1,5,5.0,125000
سيت,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,82000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,7.0,81900
لاندروفر,أبيض عاجي,ديزل,حكومي,فلسطينية,عادي,يدوي,2500,123850.0,نقدا فقط,للبيع فقط,1,0,0,0,0,0,0,0,0,4,15.0,75000
اوبل,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,90000.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,0,1,0,1,1,1,4,9.0,42000
سيت,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,98656.0,نقدا فقط,للبيع أو التبديل,1,1,1,0,1,0,1,1,1,4,12.0,48000
هونداي,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,186800.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,0,1,4,17.0,45000
اودي,أبيض,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1800,200000.0,إمكانية التقسيط,للبيع أو التبديل,4,1,1,1,1,1,1,1,1,4,23.0,31000
كيا,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,150.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,1,1,1,1,6,11.0,88000
كيا,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70410.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,7.0,68000
هونداي,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,186800.0,نقدا فقط,للبيع فقط,4,1,1,1,1,1,1,1,1,5,17.0,59000
بي,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,195000.0,نقدا فقط,للبيع فقط,3,0,1,1,1,0,1,1,0,4,38.0,25000
كيا,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,143.0,نقدا فقط,للبيع أو التبديل,3,1,1,1,1,0,1,1,1,4,16.0,37000
مرسيدس,زيتي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2500,77935.8,نقدا فقط,للبيع فقط,0,0,0,1,1,0,1,0,0,4,31.0,30000
مرسيدس,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,88000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,1,1,1,1,4,13.0,88000
فولكسفاجن,كحلي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,75400.4,نقدا فقط,للبيع فقط,7,1,1,0,1,0,1,0,1,4,19.0,36000
فولكسفاجن,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,107000.0,نقدا فقط,للبيع فقط,3,1,1,1,1,1,1,0,1,4,6.0,115115
هونداي,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,1,1,1,1,4,7.0,68000
كيا,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,45000.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,1,1,1,1,1,6,7.0,180000
بيجو,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,1600,75000.0,إمكانية التقسيط,للبيع فقط,2,1,1,0,1,0,0,1,1,4,12.0,62000
هونداي,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,70000.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,0,1,0,1,4,8.0,55999
بيجو,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000.0,نقدا فقط,للبيع فقط,1,1,1,0,1,0,1,0,1,4,9.0,39500
مرسيدس,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,169341.0,نقدا فقط,للبيع فقط,0,1,0,1,1,1,1,1,1,4,10.0,160000
فولكسفاجن,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,112315.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,0,1,6,13.0,82000
هونداي,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,48.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,1,0,1,1,1,4,4.0,85000
بيجو,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,123850.0,نقدا فقط,للبيع فقط,2,1,0,1,1,1,0,1,1,4,15.0,65000
بيجو,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,110665.0,نقدا فقط,للبيع أو التبديل,4,1,1,0,0,1,1,0,1,6,12.0,40000
كيا,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,62000.0,نقدا فقط,للبيع فقط,0,1,1,1,1,0,1,1,1,4,6.0,75000
بيجو,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,155418.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,0,1,4,16.0,30000
هونداي,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,77000.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,1,0,1,1,1,4,4.0,85000
مرسيدس,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2700,658.0,إمكانية التقسيط,للبيع فقط,0,1,1,1,1,1,1,1,1,4,27.0,30000
فولكسفاجن,أسود ميتالك,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1995,190000.0,نقدا فقط,للبيع أو التبديل,0,1,1,1,1,0,0,0,1,6,3.0,115000
فولكسفاجن,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,190000.0,نقدا فقط,للبيع فقط,1,1,1,0,1,1,1,1,1,4,8.0,120000
اوبل,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,24315.4,نقدا فقط,للبيع أو التبديل,8,0,0,0,1,0,1,0,0,4,40.0,13500
فولكسفاجن,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,60000.0,نقدا فقط,للبيع فقط,0,1,1,1,0,1,1,0,0,4,4.0,91999
فولكسفاجن,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,98.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,6,9.0,90000
دايو,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,200000.0,نقدا فقط,للبيع فقط,1,1,1,0,1,0,0,0,0,4,21.0,17000
سيت,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,65.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,0,1,0,1,4,6.0,74000
بي,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,122000.0,إمكانية التقسيط,للبيع أو التبديل,4,1,1,1,1,1,1,1,1,4,9.0,165000
مرسيدس,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,1234,41238.2,إمكانية التقسيط,للبيع فقط,2,0,0,0,0,0,0,0,0,2,24.0,50000
سيت,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,87000.0,إمكانية التقسيط,للبيع فقط,1,1,1,0,0,0,1,0,1,4,5.0,70000
كاديلاك,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,98656.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,0,0,1,1,4,12.0,75000
بيجو,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,60000.0,إمكانية التقسيط,للبيع أو التبديل,1,1,0,0,1,0,1,0,0,4,11.0,30000
كيا,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,160000.0,إمكانية التقسيط,للبيع فقط,1,1,1,1,0,0,0,1,1,4,9.0,44000
هونداي,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,180000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,7.0,54500
فورد,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,0,1,4,10.0,45000
هونداي,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,80000.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,1,0,1,0,1,5,8.0,67000
كيا,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,160.0,نقدا فقط,للبيع فقط,3,1,1,1,1,1,1,1,1,4,7.0,67000
هونداي,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,75000.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,1,1,1,1,4,7.0,64000
اودي,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,4200,155418.0,إمكانية التقسيط,للبيع أو التبديل,3,1,1,1,1,1,1,1,1,4,16.0,110000
سيت,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,168800.0,نقدا فقط,للبيع فقط,3,1,1,1,1,0,1,0,1,4,11.0,52000
كيا,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,90000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,1,1,1,1,6,6.0,173999
فولكسفاجن,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,80862.2,نقدا فقط,للبيع فقط,3,0,0,0,0,0,0,0,0,4,26.0,20000
بيجو,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123850.0,نقدا فقط,للبيع فقط,2,1,1,1,1,1,1,1,1,4,15.0,37500
اوبل,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,100.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,0,1,0,1,0,1,4,10.0,60000
فيات,خمري,بنزين,تأجير,فلسطينية,عادي,يدوي,1400,20000.0,نقدا فقط,للبيع فقط,5,1,0,0,1,0,0,0,1,4,28.0,13000
فولكسفاجن,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,40000.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,1,1,1,1,1,4,4.0,172000
ميتسوبيشي,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,18665.6,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,0,0,1,1,7,22.0,38000
كيا,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,100000.0,نقدا فقط,للبيع فقط,2,1,1,0,1,1,1,1,1,6,12.0,118000
هونداي,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,72000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,10.0,50000
اوبل,رصاصي,بنزين,خصوصي,نمرة صفراء,نصف اوتوماتيك,الكتروني,1600,196000.0,نقدا فقط,للبيع فقط,3,0,1,1,1,0,1,0,1,4,18.0,10000
بي,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,250882.0,إمكانية التقسيط,للبيع أو التبديل,4,1,1,1,1,1,1,1,1,4,19.0,55000
هونداي,سكني,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,100000.0,نقدا فقط,للبيع فقط,1,1,1,1,0,0,0,0,1,4,6.0,10000
سكودا,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,72412.0,نقدا فقط,للبيع فقط,1,1,1,0,1,0,1,1,1,4,8.0,70000
بيجو,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,102600.0,نقدا فقط,للبيع فقط,1,1,1,0,1,0,1,0,1,4,9.0,52000
كيا,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,25000.0,نقدا فقط,للبيع فقط,0,1,1,0,1,0,1,0,1,4,8.0,49000
سكودا,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,1,0,1,0,1,4,4.0,116000
نيسان,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,4800,155418.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,0,1,1,1,6,16.0,57000
هونداي,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123850.0,نقدا فقط,للبيع أو التبديل,3,1,1,1,1,1,1,1,1,3,15.0,43000
اوبل,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,24315.4,نقدا فقط,للبيع فقط,11,0,0,0,0,0,0,0,0,4,40.0,9000
دايو,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,138000.0,إمكانية التقسيط,للبيع فقط,6,1,1,1,1,0,0,0,1,4,25.0,20000
مرسيدس,سكني,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,3000,50000.0,إمكانية التقسيط,للبيع أو التبديل,3,1,1,1,1,0,1,1,1,7,4.0,130000
فولكسفاجن,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,6544.8,نقدا فقط,للبيع فقط,10,0,0,0,0,1,1,1,0,4,41.0,6500
سوبارو,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1990,123850.0,نقدا فقط,للبيع فقط,3,1,1,1,1,1,1,1,1,4,15.0,45000
شفروليه,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3500,169000.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,1,1,4,16.0,45000
فورد,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,120.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,1,0,1,0,1,4,7.0,60000
كيا,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,60000.0,إمكانية التقسيط,للبيع أو التبديل,3,1,1,1,1,1,1,0,1,6,7.0,158000
هونداي,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,250000.0,إمكانية التقسيط,للبيع أو التبديل,3,1,1,0,1,1,1,1,1,4,15.0,58000
سكودا,أسود,ديزل,خصوصي,فلسطينية,عادي,يدوي,1600,220000.0,إمكانية التقسيط,للبيع فقط,1,0,0,0,0,0,0,0,0,4,11.0,53000
كيا,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1250,12000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,0,1,1,4,4.0,58000
تويوتا,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,123850.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,1,1,1,1,6,15.0,200000
سكودا,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,244789.0,نقدا فقط,للبيع أو التبديل,3,1,1,1,1,0,1,0,1,4,15.0,60000
سكودا,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,150000.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,0,1,0,1,4,9.0,56000
بيجو,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,77214.0,إمكانية التقسيط,للبيع فقط,4,0,0,0,0,0,0,0,0,4,36.0,15000
فولكسفاجن,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,123.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,1,0,0,0,1,4,4.0,127000
فولكسفاجن,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,75000.0,إمكانية التقسيط,للبيع أو التبديل,3,0,0,0,0,0,0,0,0,2,18.0,35000
كيا,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,42000.0,نقدا فقط,للبيع فقط,0,1,0,0,1,0,0,0,0,4,7.0,62000
فولكسفاجن,بني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,150000.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,1,1,4,11.0,59000
بيجو,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,98656.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,0,0,4,12.0,45000
هونداي,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1990,155418.0,نقدا فقط,للبيع فقط,3,1,0,0,1,0,1,0,1,7,16.0,55000
فيات,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,169341.0,إمكانية التقسيط,للبيع فقط,1,1,0,0,0,0,0,0,1,4,10.0,38000
مرسيدس,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000.0,نقدا فقط,للبيع فقط,0,1,1,1,1,1,1,1,1,4,5.0,250000
فولكسفاجن,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,60000.0,نقدا فقط,للبيع فقط,0,1,1,0,1,0,1,1,1,6,9.0,103000
سكودا,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,119.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,1,0,1,0,1,5,8.0,114999
اوبل,أسود,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,147891.0,نقدا فقط,للبيع فقط,3,1,0,0,1,0,0,0,0,3,23.0,26000
هونداي,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,180000.0,نقدا فقط,للبيع أو التبديل,5,1,1,1,1,0,1,0,1,4,16.0,34500
فولفو,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,210,147891.0,نقدا فقط,للبيع فقط,3,1,1,1,1,1,0,1,1,2,23.0,75000
فولكسفاجن,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,188.0,نقدا فقط,للبيع فقط,2,1,0,0,1,0,1,0,1,4,15.0,37000
سوبارو,أبيض,بنزين,تدريب سياقة,فلسطينية,عادي,الكتروني,1600,133.0,نقدا فقط,للبيع فقط,4,1,1,1,1,0,1,0,1,4,18.0,45000
كيا,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123850.0,إمكانية التقسيط,للبيع فقط,2,1,1,1,1,1,1,1,1,4,15.0,37000
شفروليه,أبيض عاجي,ديزل,حكومي,فلسطينية,اوتوماتيك,يدوي,6600,39000.0,إمكانية التقسيط,للبيع أو التبديل,2,1,0,0,1,0,0,1,1,2,16.0,60000
كيا,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,130000.0,نقدا فقط,للبيع فقط,2,1,1,1,1,1,1,1,1,4,6.0,125000
اوبل,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,70501.0,نقدا فقط,للبيع أو التبديل,3,1,1,0,1,0,1,0,1,4,14.0,33000
بي,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,200000.0,إمكانية التقسيط,للبيع فقط,2,1,1,1,1,1,1,1,1,4,15.0,230000
كيا,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1700,60.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,8.0,85000
فولكسفاجن,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,270000.0,نقدا فقط,للبيع أو التبديل,3,1,1,1,1,1,1,1,1,4,17.0,80000
اوبل,فضي,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,210.0,نقدا فقط,للبيع فقط,1,0,1,1,1,0,0,1,0,4,10.0,33000
كيا,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,59000.0,نقدا فقط,للبيع فقط,1,1,1,0,1,0,1,1,1,4,7.0,40000
سكودا,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,120000.0,نقدا فقط,للبيع أو التبديل,2,0,0,0,1,0,1,0,0,4,10.0,45000
سكودا,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,34000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,1,1,1,1,6,5.0,170000
سكودا,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,0,1,0,1,4,10.0,78000
فولكسفاجن,سكني,ديزل,خصوصي,فلسطينية,عادي,يدوي,1900,24315.4,نقدا فقط,للبيع فقط,6,0,0,0,0,0,0,0,0,6,40.0,30000
مرسيدس,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,98656.0,إمكانية التقسيط,للتبديل فقط,2,1,1,1,1,1,1,1,1,3,12.0,160000
